source,destination,impr,clicks,group_urls,is_basis
/jobs/fort-worth-no-experience-security,/dallas/jobs/fort-worth-no-experience-security,6,0,1,True
/jobs/fort-worth-overnight-security-jobs,/dallas/jobs/fort-worth-overnight-security,2,0,1,True
/dallas/security-jobs-fort-worth,/dallas/jobs/fort-worth-security-jobs,50,0,2,True
/jobs/security-jobs-fort-worth,/dallas/jobs/fort-worth-security-jobs,1,0,2,False
/dallas/fort-worth-unarmed-security,/dallas/jobs/fort-worth-unarmed-security,2,0,1,True
/dallas/frisco-unarmed-security-jobs,/dallas/jobs/frisco-unarmed-security,36,0,2,True
/jobs/frisco-unarmed-security-jobs,/dallas/jobs/frisco-unarmed-security,2,0,2,False
/dallas/garland-security-jobs,/dallas/jobs/garland-security-jobs,20,0,1,True
/dallas/grand-prairie-overnight-security-jobs,/dallas/jobs/grand-prairie-overnight-security,5,0,1,True
/jobs/grapevine-security-jobs,/dallas/jobs/grapevine-security-jobs,78,2,2,True
/dallas/grapevine-security-jobs,/dallas/jobs/grapevine-security-jobs,15,0,2,False
/jobs/irving-overnight-security-jobs,/dallas/jobs/irving-overnight-security,78,0,2,True
/dallas/irving-overnight-security-jobs,/dallas/jobs/irving-overnight-security,6,0,2,False
/jobs/irving-unarmed-security,/dallas/jobs/irving-unarmed-security,3,0,2,True
/dallas/irving-unarmed-security,/dallas/jobs/irving-unarmed-security,1,0,2,False
/dallas/lancaster-security-jobs,/dallas/jobs/lancaster-security-jobs,12,0,1,True
/dallas/lewisville-security-jobs,/dallas/jobs/lewisville-security-jobs,15,0,1,True
/jobs/mansfield-security-jobs,/dallas/jobs/mansfield-security-jobs,69,2,2,True
/dallas/mansfield-security-jobs,/dallas/jobs/mansfield-security-jobs,44,1,2,False
/dallas/mckinney-security-jobs,/dallas/jobs/mckinney-security-jobs,16,0,1,True
/jobs/medical-district-dallas-security,/dallas/jobs/medical-district-security-jobs,1,0,2,True
/dallas/medical-district-dallas-security,/dallas/jobs/medical-district-security-jobs,1,0,2,False
/dallas/mesquite-security-jobs,/dallas/jobs/mesquite-security-jobs,13,0,1,True
/jobs/midlothian-security-jobs,/dallas/jobs/midlothian-security-jobs,14,0,2,True
/dallas/midlothian-security-jobs,/dallas/jobs/midlothian-security-jobs,4,0,2,False
/jobs/north-richland-hills-security-jobs,/dallas/jobs/north-richland-hills-security-jobs,9,0,2,True
/dallas/north-richland-hills-security-jobs,/dallas/jobs/north-richland-hills-security-jobs,4,0,2,False
/jobs/plano-unarmed-security-jobs,/dallas/jobs/plano-unarmed-security,58,0,2,True
/dallas/plano-unarmed-security-jobs,/dallas/jobs/plano-unarmed-security,9,0,2,False
/dallas/richardson-security-jobs,/dallas/jobs/richardson-security-jobs,6,0,2,True
/jobs/richardson-security-jobs,/dallas/jobs/richardson-security-jobs,1,0,2,False
/jobs/rockwall-security-jobs,/dallas/jobs/rockwall-security-jobs,35,3,2,True
/dallas/rockwall-security-jobs,/dallas/jobs/rockwall-security-jobs,7,0,2,False
/dallas/rowlett-security-jobs,/dallas/jobs/rowlett-security-jobs,2,1,2,True
/jobs/rowlett-security-jobs,/dallas/jobs/rowlett-security-jobs,1,0,2,False
/dallas/uptown-dallas-security,/dallas/jobs/uptown-dallas-security-jobs,1,0,1,True
