url,inbound,outbound,reachable,orphan
/san-antonio/jobs/no-experience-security-san-antonio,7,27,True,False
/san-antonio/jobs/overnight-security-san-antonio,27,24,True,False
/san-antonio/jobs/part-time-security-san-antonio,2,26,False,False
/san-antonio/jobs/residential-security-san-antonio,2,23,False,False
/san-antonio/jobs/retail-security-san-antonio,25,23,True,False
/san-antonio/jobs/river-walk-security-jobs-san-antonio,27,22,True,False
/san-antonio/jobs/school-security-san-antonio,2,24,False,False
/san-antonio/jobs/security-training-schools-san-antonio,6,25,True,False
/san-antonio/jobs/tsa-airport-security-san-antonio,27,24,True,False
/san-antonio/jobs/unarmed-security-san-antonio,26,23,True,False
/san-antonio/jobs/university-security-san-antonio,26,24,True,False
/san-antonio/jobs/warehouse-security-san-antonio,4,24,True,False
/san-antonio/security-jobs-san-antonio,0,31,False,True
/security-jobs-austin,0,18,False,True
/security-jobs-san-antonio,0,31,False,True
/terms,0,9,False,True
/texas,1,68,True,False
/texas/how-to-become-a-security-guard-in-texas,222,24,True,False
/texas/security-guard-salary-texas,222,22,True,False
/texas/security-jobs-for-veterans-texas,221,23,True,False
/texas/texas-security-license-requirements,227,18,True,False
